doi,wos_id,year,journal,authors,title_wos
"",WOS000230239800007,2005,JM,HOMBURG C;FURST A,HOW ORGANIZATIONAL COMPLAINT HANDLING DRIVES CUSTOMER LOYALTY: AN ANALYSIS OF THE MECHANISTIC AND THE ORGANIC APPROACH
"",WOS000232344000006,2005,MktSci,TELLIS GJ;CHANDY RK;MACINNIS D;THAIVANICH P,"MODELING THE MICROEFFECTS OF TELEVISION ADVERTISING: WHICH AD WORKS, WHEN, WHERE, FOR HOW LONG, AND WHY?"
"",WOS000228626900002,2005,JCP,GARNER R,WHAT'S IN A NAME? PERSUASION PERHAPS
"",WOS000226189500007,2005,JM,HOMBURG C;BUCERIUS M,A MARKETING PERSPECTIVE ON MERGERS AND ACQUISITIONS: HOW MARKETING INTEGRATION AFFECTS POSTMERGER PERFORMANCE
"",WOS000228626900005,2005,JCP,WHITE TB,"CONSUMER TRUST AND ADVICE ACCEPTANCE: THE MODERATING ROLES OF BENEVOLENCE, EXPERTISE, AND NEGATIVE EMOTIONS"
"",WOS000225417400011,2004,JCR,ELPERS JLCMW;MUKHERJEE A;HOYER WD,HUMOR IN TELEVISION ADVERTISING: A MOMENT-TO-MOMENT ANALYSIS
"",WOS000222670300003,2004,MktSci,FOSTER JA;GOLDER PN;TELLIS GJ,PREDICTING SALES TAKEOFF FOR WHIRLPOOL'S NEW PERSONAL VALET
"",WOS000222670300004,2004,MktSci,ROBERTS JH;MORRISON PD;NELSON CJ,IMPLEMENTING A PRELAUNCH DIFFUSION MODEL: MEASUREMENT AND MANAGEMENT CHALLENGES OF THE TELSTRA SWITCHING STUDY
"",WOS000220653900011,2004,JCP,ESCALAS JE;MOORE MC;BRITTON JE,FISHING FOR FEELINGS? HOOKING VIEWERS HELPS!
"",WOS000220653900018,2004,JCP,ESCALAS JE,NARRATIVE PROCESSING: BUILDING CONSUMER CONNECTIONS TO BRANDS
"",WOS000224941500007,2004,JCP,OLSEN GD;PRACEJUS JW,INTEGRATION OF POSITIVE AND NEGATIVE AFFECTIVE STIMULI
"",WOS000224941500005,2004,JCP,PHAM MT,THE LOGIC OF FEELING
"",WOS000220653900005,2004,JCP,WHITE TB,CONSUMER DISCLOSURE AND DISCLOSURE AVOIDANCE: A MOTIVATIONAL FRAMEWORK
"",WOS000183354100008,2003,JCR,GURHAN-CANLI Z,THE EFFECT OF EXPECTED VARIABILITY OF PRODUCT QUALITY AND ATTRIBUTE UNIQUENESS ON FAMILY BRAND EVALUATIONS
"",WOS000183066500008,2003,JCP,HAUBL G;MURRAY KB,PREFERENCE CONSTRUCTION AND PERSISTENCE IN DIGITAL MARKETPLACES: THE ROLE OF ELECTRONIC RECOMMENDATION AGENTS
"",WOS000175347300006,2002,MktSci,DHAR SK;DUTTA S;DHAR SK,ASYMMETRIC STORE POSITIONING AND PROMOTIONAL ADVERTISING STRATEGIES: THEORY AND EVIDENCE
"",WOS000177026600004,2002,MktSci,TER HOFSTEDE F;WEDEL M;STEENKAMP JBEM,IDENTIFYING SPATIAL SEGMENTS IN INTERNATIONAL MARKETS
"",WOS000178934100001,2002,JCP,BARONE MJ;MINIARD PW,MOOD AND BRAND EXTENSION JUDGMENTS: ASYMMETRIC EFFECTS FOR DESIRABLE VERSUS UNDESIRABLE BRANDS
"",WOS000178934100008,2002,JCP,TIETJE BC,WHEN DO REWARDS HAVE ENHANCEMENT EFFECTS? AN AVAILABILITY VALENCE APPROACH
"",WOS000346134700001,2014,JM,TRACEY P;HEIDE JB;BELL SJ,"BRINGING ``PLACE'' BACK IN: REGIONAL CLUSTERS, PROJECT GOVERNANCE, AND NEW PRODUCT OUTCOMES"
"",WOS000346134400001,2014,JM,CHAKRAVARTY A;KUMAR A;GREWAL R,CUSTOMER ORIENTATION STRUCTURE FOR INTERNET-BASED BUSINESS-TO-BUSINESS PLATFORM FIRMS
"",WOS000308452700001,2012,JM,RAY S;WOOD CA;MESSINGER PR,MULTICOMPONENT SYSTEMS PRICING: RATIONAL INATTENTION AND DOWNWARD RIGIDITIES
"",WOS000294193800001,2011,JM,WANG Q;XIE J,WILL CONSUMERS BE WILLING TO PAY MORE WHEN YOUR COMPETITORS ADOPT YOUR TECHNOLOGY? THE IMPACTS OF THE SUPPORTING-FIRM BASE IN MARKETS WITH NETWORK EFFECTS
"",WOS000293049100009,2011,JMR,[ANONYMOUS] A,MULTIPLE ROUTES TO SELF- VERSUS OTHER-EXPRESSION IN CONSUMER CHOICE
"",WOS000287985200001,2011,JM,KUMAR A;HEIDE JB;WATHNE KH,PERFORMANCE IMPLICATIONS OF MISMATCHED GOVERNANCE REGIMES ACROSS EXTERNAL AND INTERNAL RELATIONSHIPS
"",WOS000281303500001,2010,JM,KUMAR V;PETERSEN JA;LEONE RP,"DRIVING PROFITABILITY BY ENCOURAGING CUSTOMER REFERRALS: WHO, WHEN, AND HOW"
"",WOS000278743500001,2010,JM,WANG Q;CHEN Y;XIE J,SURVIVAL IN MARKETS WITH NETWORK EFFECTS: PRODUCT COMPATIBILITY AND ORDER-OF-ENTRY EFFECTS
"",WOS000277377100001,2010,JM,VISWANATHAN M;ROSA JA;RUTH JA,"EXCHANGES IN MARKETING SYSTEMS: THE CASE OF SUBSISTENCE CONSUMER-MERCHANTS IN CHENNAI, INDIA"
"",WOS000274988600001,2010,JM,HUMPHREYS A,MEGAMARKETING: THE CREATION OF MARKETS AS A SOCIAL PROCESS
"",WOS000265271100001,2009,JM,READ S;DEW N;SARASVATHY SD;SONG M;WILTBANK R,MARKETING UNDER UNCERTAINTY: THE LOGIC OF AN EFFECTUAL APPROACH
"",WOS000250316600003,2007,JM,V. WANGENHEIM F;BAYON T,BEHAVIORAL CONSEQUENCES OF OVERBOOKING SERVICE CAPACITY
"",WOS000248770600010,2007,JCP,DUHACHEK A;OAKLEY JL,MAPPING THE HIERARCHICAL STRUCTURE OF COPING: UNIFYING EMPIRICAL AND THEORETICAL PERSPECTIVES
"",WOS000245055900004,2007,JCP,INMAN JJ,REGRET REGULATION: DISENTANGLING SELF-REPROACH FROM LEARNING
"",WOS000246287400008,2007,JCP,JOHAR GV;ROGGEVEEN AL,CHANGING FALSE BELIEFS FROM REPEATED ADVERTISING: THE ROLE OF CLAIM-REFUTATION ALIGNMENT
"",WOS000248770600007,2007,JCP,LERNER JS;HAN S;KELTNER D,FEELINGS AND CONSUMER DECISION MAKING: EXTENDING THE APPRAISAL-TENDENCY FRAMEWORK
"",WOS000248770600006,2007,JCP,YATES JF,"EMOTION APPRAISAL TENDENCIES AND CARRYOVER: HOW, WHY, AND... THEREFORE?"
"",WOS000167255100035,2001,JCP,ALLENBY G,"TESTING FOR SIGNIFICANT DIFFERENCES IN VARIANCES, RATHER THAN MEANS"
"",WOS000167255100145,2001,JCP,ALLENBY G,REGRESSION WITH CORRELATED VARIABLES (MULTICOLLINEARITY)
"",WOS000167255100132,2001,JCP,ARABIE P,HOW DO I CHOOSE THE OPTIMAL NUMBER OF CLUSTERS IN CLUSTER ANALYSIS?
"",WOS000167255100088,2001,JCP,BEARDEN W,CONVEYING THE MEAN AND VARIANCE OF VARIABLES IN A COMPOSITE SCORE
"",WOS000167255100092,2001,JCP,BEARDEN W,WRITING THE SURVEY QUESTION TO CAPTURE THE CONCEPT
"",WOS000167255100122,2001,JCP,COTE J,SEM VERSUS ANOVA
"",WOS000167255100080,2001,JCP,DILLON WR,HOW TO COMBINE MULTIPLE ITEMS INTO A COMPOSITE SCORE
"",WOS000167255100085,2001,JCP,DILLON WR,SUMMED SCALES AND WHAT IS A ``REFLECTIVE'' OR ``FORMATIVE'' INDICATOR?
"",WOS000167255100074,2001,JCP,HULIN C,CAN A RELIABILITY COEFFICIENT BE TOO HIGH?
"",WOS000167255100077,2001,JCP,HULIN C,WHY CONDUCT A FACTOR ANALYSIS AND THEN COMPUTE AN ALPHA?
"",WOS000167255100058,2001,JCP,KOEHLY PL,IS A LOGIT ALWAYS BETTER THAN THE ANALYSIS OF PROPORTIONS?
"",WOS000167255100135,2001,JCP,LEHMANN D,META-ANALYSIS
"",WOS000167255100150,2001,JCP,MALTHOUSE E,WHY DO WE NOT USE MORE NONPARAMETRIC METHODS?
"",WOS000167255100060,2001,JCP,NEELAMEGHAM R,CAN I DO AN ANOVA ON A BINARY DV?
"",WOS000167255100029,2001,JCP,STEENKAMP JB,SHOULD WE PLOT MEANS OR MEAN DIFFERENCES WHEN ANALYZING WITHIN-SUBJECTS DESIGNS?
"",WOS000167255100052,2001,JCP,STEENKAMP JB,ANALYSIS OF CONSTANT SUM SCORES
"",WOS000167255100155,2001,JCP,STERNTHAL B,WHY NOT ASK EXPERIMENTAL PARTICIPANTS FOR MORE PROCESSING INFORMATION?
